Song,Artist
"""If You Wanna Be Happy""",Jimmy Soul
"""It's My Party""",Lesley Gore
"""Sukiyaki""",Kyu Sakamoto
"""Easier Said Than Done""",The Essex
"""Surf City""",Jan and Dean
"""So Much in Love""",The Tymes
"""Fingertips""",Little Stevie Wonder
"""My Boyfriend's Back""",The Angels
"""Blue Velvet""",Bobby Vinton
"""Sugar Shack""",Jimmy Gilmer and the Fireballs
"""Deep Purple""",Nino Tempo and April Stevens
"""I'm Leaving It Up to You""",Dale & Grace
"""Dominique""",The Singing Nun
"""There! I've Said It Again""",Bobby Vinton
"""I Want to Hold Your Hand""",The Beatles
"""She Loves You""",The Beatles
"""Can't Buy Me Love""",The Beatles
"""Hello, Dolly!""",Louis Armstrong
"""My Guy""",Mary Wells
"""Love Me Do""",The Beatles
"""Chapel of Love""",The Dixie Cups
"""A World Without Love""",Peter and Gordon
"""I Get Around""",The Beach Boys
"""Rag Doll""",The Four Seasons
"""A Hard Day's Night""",The Beatles
"""Everybody Loves Somebody""",Dean Martin
"""Where Did Our Love Go""",The Supremes
"""The House of the Rising Sun""",The Animals
"""Oh, Pretty Woman""",Roy Orbison
"""Do Wah Diddy Diddy""",Manfred Mann
"""Baby Love""",The Supremes
"""Leader of the Pack""",The Shangri-Las
"""Ringo""",Lorne Greene
"""Mr. Lonely""",Bobby Vinton
"""Come See About Me""",The Supremes
"""I Feel Fine""",The Beatles
"""I Feel Fine""",The Beatles
"""Come See About Me""",The Supremes
"""Downtown""",Petula Clark
"""You've Lost That Lovin' Feelin'""",The Righteous Brothers
"""This Diamond Ring""",Gary Lewis & the Playboys
"""My Girl""",The Temptations
"""Eight Days a Week""",The Beatles
"""Stop! In the Name of Love""",The Supremes
"""I'm Telling You Now""",Freddie and the Dreamers
"""Game of Love""",Wayne Fontana and the Mindbenders
"""Mrs. Brown, You've Got a Lovely Daughter""",Herman's Hermits
"""Ticket to Ride""",The Beatles
"""Help Me, Rhonda""",The Beach Boys
"""Back in My Arms Again""",The Supremes
"""I Can't Help Myself (Sugar Pie Honey Bunch)""",Four Tops
"""Mr. Tambourine Man""",The Byrds
"""(I Can't Get No) Satisfaction""",The Rolling Stones
"""I'm Henry VIII, I Am""",Herman's Hermits
"""I Got You Babe""",Sonny & Cher
"""Help!""",The Beatles
"""Eve of Destruction""",Barry McGuire
"""Hang On Sloopy""",The McCoys
"""Yesterday""",The Beatles
"""Get Off of My Cloud""",The Rolling Stones
"""I Hear a Symphony""",The Supremes
"""Turn! Turn! Turn! (To Everything There Is a Season)""",The Byrds
"""Over and Over""",The Dave Clark Five
"""The Sound of Silence""",Simon & Garfunkel
"""We Can Work It Out""",The Beatles
"""My Love""",Petula Clark
"""Lightnin' Strikes""",Lou Christie
"""These Boots Are Made for Walkin'""",Nancy Sinatra
"""The Ballad of the Green Berets""",SSgt Barry Sadler
"""(You're My) Soul and Inspiration""",The Righteous Brothers
"""Good Lovin'""",The Young Rascals
"""Monday, Monday""",The Mamas & the Papas
"""When a Man Loves a Woman""",Percy Sledge
"""Paint It Black""",The Rolling Stones
"""Paperback Writer""",The Beatles
"""Strangers in the Night""",Frank Sinatra
"""Hanky Panky""",Tommy James and the Shondells
"""Wild Thing""",The Troggs
"""Summer in the City""",The Lovin' Spoonful
"""Sunshine Superman""",Donovan
"""You Can't Hurry Love""",The Supremes
"""Cherish""",The Association
"""Reach Out I'll Be There""",Four Tops
"""96 Tears""",? and the Mysterians
"""Last Train to Clarksville""",The Monkees
"""Poor Side of Town""",Johnny Rivers
"""You Keep Me Hangin' On""",The Supremes
"""Winchester Cathedral""",The New Vaudeville Band
"""Good Vibrations""",The Beach Boys
"""I'm a Believer""",The Monkees
"""I'm a Believer""",The Monkees
"""Kind of a Drag""",The Buckinghams
"""Ruby Tuesday""",The Rolling Stones
"""Love Is Here and Now You're Gone""",The Supremes
"""Penny Lane""",The Beatles
"""Happy Together""",The Turtles
"""Somethin' Stupid""",Nancy Sinatra and Frank Sinatra
"""The Happening""",The Supremes
"""Groovin'""",The Young Rascals
"""Respect""",Aretha Franklin
"""Windy""",The Association
"""Light My Fire""",The Doors
"""All You Need Is Love""",The Beatles
"""Ode to Billie Joe""",Bobbie Gentry
"""The Letter""",The Box Tops
"""To Sir With Love""",Lulu
"""Incense and Peppermints""",Strawberry Alarm Clock
"""Daydream Believer""",The Monkees
"""Hello, Goodbye""",The Beatles
"""Hello, Goodbye""",The Beatles
"""Judy in Disguise (With Glasses)""",John Fred and His Playboy Band
"""Green Tambourine""",The Lemon Pipers
"""Love is Blue""",Paul Mauriat
"""(Sittin' On) The Dock of the Bay""",Otis Redding
"""Honey""",Bobby Goldsboro
"""Tighten Up""",Archie Bell & the Drells
"""Mrs. Robinson""",Simon & Garfunkel
"""This Guy's in Love with You""",Herb Alpert
"""Grazing in the Grass""",Hugh Masekela
"""Hello, I Love You""",The Doors
"""People Got to Be Free""",The Rascals
"""Harper Valley PTA""",Jeannie C. Riley
"""Hey Jude""",The Beatles
"""Love Child""",Diana Ross & the Supremes
"""I Heard It Through the Grapevine""",Marvin Gaye
"""I Heard It Through the Grapevine""",Marvin Gaye
"""Crimson and Clover""",Tommy James and the Shondells
"""Everyday People""",Sly & the Family Stone
"""Dizzy""",Tommy Roe
"""Aquarius/Let the Sunshine In""",The 5th Dimension
"""Get Back""",The Beatles with Billy Preston
"""Love Theme from Romeo and Juliet""",Henry Mancini
"""In the Year 2525""",Zager and Evans
"""Honky Tonk Women""",The Rolling Stones
"""Sugar, Sugar""",The Archies
"""I Can't Get Next to You""",The Temptations
"""Suspicious Minds""",Elvis Presley
"""Wedding Bell Blues""",The 5th Dimension
"""Come Together"" / ""Something""",The Beatles
"""Na Na Hey Hey Kiss Him Goodbye""",Steam
"""Leaving on a Jet Plane""","Peter, Paul and Mary"
"""Someday We'll Be Together""",Diana Ross & the Supremes
"""Raindrops Keep Fallin' on My Head""",B. J. Thomas
"""I Want You Back""",The Jackson 5
"""Venus""",Shocking Blue
"""Thank You (Falettinme Be Mice Elf Agin)"" / ""Everybody Is a Star""",Sly & the Family Stone
"""Bridge over Troubled Water""",Simon & Garfunkel
"""Let It Be""",The Beatles
"""ABC""",The Jackson 5
"""American Woman"" / ""No Sugar Tonight""",The Guess Who
"""Everything Is Beautiful""",Ray Stevens
"""The Long and Winding Road"" / ""For You Blue""",The Beatles
"""The Love You Save""",The Jackson 5
"""Mama Told Me (Not to Come)""",Three Dog Night
"""(They Long to Be) Close to You""",The Carpenters
"""Make It with You""",Bread
"""War""",Edwin Starr
"""Ain't No Mountain High Enough""",Diana Ross
"""Cracklin' Rosie""",Neil Diamond
"""I'll Be There""",The Jackson 5
"""I Think I Love You""",The Partridge Family
"""The Tears of a Clown""",Smokey Robinson & the Miracles
"""My Sweet Lord"" / ""Isn't It a Pity""",George Harrison
"""My Sweet Lord"" / ""Isn't It a Pity""",George Harrison
"""Knock Three Times""",Dawn
"""One Bad Apple""",The Osmonds
"""Me and Bobby McGee""",Janis Joplin
"""Just My Imagination (Running Away with Me)""",The Temptations
"""Joy to the World""",Three Dog Night
"""Brown Sugar""",The Rolling Stones
"""Want Ads""",Honey Cone
"""It's Too Late"" / ""I Feel the Earth Move""",Carole King
"""Indian Reservation (The Lament of the Cherokee Reservation Indian)""",The Raiders
"""You've Got a Friend""",James Taylor
"""How Can You Mend a Broken Heart""",Bee Gees
"""Uncle Albert/Admiral Halsey""",Paul & Linda McCartney
"""Go Away Little Girl""",Donny Osmond
"""Maggie May"" / ""Reason to Believe""",Rod Stewart
"""Gypsys, Tramps & Thieves""",Cher
"""Theme from Shaft""",Isaac Hayes
"""Family Affair""",Sly and the Family Stone
"""Brand New Key""",Melanie
"""Brand New Key""",Melanie
"""American Pie""",Don McLean
"""Let's Stay Together""",Al Green
"""Without You""",Nilsson
"""Heart of Gold""",Neil Young
"""A Horse with No Name""",America
"""The First Time Ever I Saw Your Face""",Roberta Flack
"""Oh Girl""",The Chi-Lites
"""I'll Take You There""",The Staple Singers
"""The Candy Man""",Sammy Davis Jr.
"""Song Sung Blue""",Neil Diamond
"""Lean on Me""",Bill Withers
"""Alone Again (Naturally)""",Gilbert O'Sullivan
"""Brandy (You're a Fine Girl)""",Looking Glass
"""Black and White""",Three Dog Night
"""Baby, Don't Get Hooked on Me""",Mac Davis
"""Ben""",Michael Jackson
"""My Ding-a-Ling""",Chuck Berry
"""I Can See Clearly Now""",Johnny Nash
"""Papa Was a Rollin' Stone""",The Temptations
"""I Am Woman""",Helen Reddy
"""Me and Mrs. Jones""",Billy Paul
"""You're So Vain""",Carly Simon
"""Superstition""",Stevie Wonder
"""Crocodile Rock""",Elton John
"""Killing Me Softly with His Song""",Roberta Flack
"""Love Train""",The O'Jays
"""The Night the Lights Went Out in Georgia""",Vicki Lawrence
"""Tie a Yellow Ribbon Round the Ole Oak Tree""",Dawn featuring Tony Orlando
"""You Are the Sunshine of My Life""",Stevie Wonder
"""Frankenstein""",The Edgar Winter Group
"""My Love""",Paul McCartney & Wings
"""Give Me Love (Give Me Peace on Earth)""",George Harrison
"""Will It Go Round in Circles""",Billy Preston
"""Bad, Bad Leroy Brown""",Jim Croce
"""The Morning After""",Maureen McGovern
"""Touch Me in the Morning""",Diana Ross
"""Brother Louie""",Stories
"""Let's Get It On""",Marvin Gaye
"""Delta Dawn""",Helen Reddy
"""We're an American Band""",Grand Funk
"""Half-Breed""",Cher
"""Angie""",The Rolling Stones
"""Midnight Train to Georgia""",Gladys Knight & the Pips
"""Keep on Truckin'""",Eddie Kendricks
"""Photograph""",Ringo Starr
"""Top of the World""",The Carpenters
"""The Most Beautiful Girl""",Charlie Rich
"""Time in a Bottle""",Jim Croce
"""Time in a Bottle""",Jim Croce
"""The Joker""",Steve Miller Band
"""Show and Tell""",Al Wilson
"""You're Sixteen""",Ringo Starr
"""The Way We Were""",Barbra Streisand
"""Love's Theme""",Love Unlimited Orchestra
"""Seasons in the Sun""",Terry Jacks
"""Dark Lady""",Cher
"""Sunshine on My Shoulders""",John Denver
"""Hooked on a Feeling""",Blue Swede
"""Bennie and the Jets""",Elton John
"""TSOP (The Sound of Philadelphia)""",MFSB and The Three Degrees
"""The Loco-Motion""",Grand Funk
"""The Streak""",Ray Stevens
"""Band on the Run""",Paul McCartney & Wings
"""Billy Don't Be a Hero""",Bo Donaldson and The Heywoods
"""Sundown""",Gordon Lightfoot
"""Rock the Boat""",The Hues Corporation
"""Rock Your Baby""",George McCrae
"""Annie's Song""",John Denver
"""Feel Like Makin' Love""",Roberta Flack
"""The Night Chicago Died""",Paper Lace
"""(You're) Having My Baby""",Paul Anka and Odia Coates
"""I Shot the Sheriff""",Eric Clapton
"""Can't Get Enough of Your Love, Babe""",Barry White
"""Rock Me Gently""",Andy Kim
"""I Honestly Love You""",Olivia Newton-John
"""Nothing From Nothing""",Billy Preston
"""Then Came You""",Dionne Warwick and The Spinners
"""You Haven't Done Nothin'""",Stevie Wonder
"""You Ain't Seen Nothing Yet""",Bachman–Turner Overdrive
"""Whatever Gets You thru the Night""",John Lennon
"""I Can Help""",Billy Swan
"""Kung Fu Fighting""",Carl Douglas
"""Cat's in the Cradle""",Harry Chapin
"""Angie Baby""",Helen Reddy
"""Lucy in the Sky with Diamonds""",Elton John
"""Mandy""",Barry Manilow
"""Please Mr. Postman""",The Carpenters
"""Laughter in the Rain""",Neil Sedaka
"""Fire""",Ohio Players
"""You're No Good""",Linda Ronstadt
"""Pick Up the Pieces""",Average White Band
"""Best of My Love""",Eagles
"""Have You Never Been Mellow""",Olivia Newton-John
"""Black Water""",The Doobie Brothers
"""My Eyes Adored You""",Frankie Valli
"""Lady Marmalade""",Labelle
"""Lovin' You""",Minnie Riperton
"""Philadelphia Freedom""",Elton John Band
"""(Hey Won't You Play) Another Somebody Done Somebody Wrong Song""",B. J. Thomas
"""He Don't Love You (Like I Love You)""",Tony Orlando and Dawn
"""Shining Star""","Earth, Wind & Fire"
"""Before the Next Teardrop Falls""",Freddy Fender
"""Thank God I'm a Country Boy""",John Denver
"""Sister Golden Hair""",America
"""Love Will Keep Us Together""",Captain & Tennille
"""Listen to What the Man Said""",Wings
"""The Hustle""",Van McCoy and the Soul City Symphony
"""One of These Nights""",Eagles
"""Jive Talkin'""",Bee Gees
"""Fallin' in Love""","Hamilton, Joe Frank & Reynolds"
"""Get Down Tonight""",KC and the Sunshine Band
"""Rhinestone Cowboy""",Glen Campbell
"""Fame""",David Bowie
"""I'm Sorry""",John Denver
"""Bad Blood""",Neil Sedaka
"""Island Girl""",Elton John
"""That's the Way (I Like It)""",KC and the Sunshine Band
"""Fly, Robin, Fly""",Silver Convention
"""Let's Do It Again""",The Staple Singers
"""Saturday Night""",Bay City Rollers
"""Convoy""",C. W. McCall
"""I Write the Songs""",Barry Manilow
"""Theme from Mahogany (Do You Know Where You're Going To)""",Diana Ross
"""Love Rollercoaster""",Ohio Players
"""50 Ways to Leave Your Lover""",Paul Simon
"""Theme from S.W.A.T.""",Rhythm Heritage
"""Love Machine""",The Miracles
"""December, 1963 (Oh, What a Night)""",The Four Seasons
"""Disco Lady""",Johnnie Taylor
"""Let Your Love Flow""",The Bellamy Brothers
"""Welcome Back""",John Sebastian
"""Boogie Fever""",The Sylvers
"""Silly Love Songs""",Wings
"""Love Hangover""",Diana Ross
"""Afternoon Delight""",Starland Vocal Band
"""Kiss and Say Goodbye""",The Manhattans
"""Don't Go Breaking My Heart""",Elton John and Kiki Dee
"""You Should Be Dancing""",Bee Gees
"""(Shake, Shake, Shake) Shake Your Booty""",KC and the Sunshine Band
"""Play That Funky Music""",Wild Cherry
"""A Fifth of Beethoven""",Walter Murphy and the Big Apple Band
"""Disco Duck""",Rick Dees and His Cast of Idiots
"""If You Leave Me Now""",Chicago
"""Rock'n Me""",Steve Miller Band
"""Tonight's the Night (Gonna Be Alright)""",Rod Stewart
"""Tonight's the Night (Gonna Be Alright)""",Rod Stewart
"""You Don't Have to Be a Star (To Be in My Show)""",Marilyn McCoo and Billy Davis Jr.
"""You Make Me Feel Like Dancing""",Leo Sayer
"""I Wish""",Stevie Wonder
"""Car Wash""",Rose Royce
"""Torn Between Two Lovers""",Mary MacGregor
"""Blinded by the Light""",Manfred Mann's Earth Band
"""New Kid in Town""",Eagles
"""Evergreen (Love Theme from A Star Is Born)""",Barbra Streisand
"""Rich Girl""",Daryl Hall and John Oates
"""Dancing Queen""",ABBA
"""Don't Give Up on Us""",David Soul
"""Don't Leave Me This Way""",Thelma Houston
"""Southern Nights""",Glen Campbell
"""Hotel California""",Eagles
"""When I Need You""",Leo Sayer
"""Sir Duke""",Stevie Wonder
"""I'm Your Boogie Man""",KC and the Sunshine Band
"""Dreams""",Fleetwood Mac
"""Got to Give It Up""",Marvin Gaye
"""Gonna Fly Now (Theme From Rocky)""",Bill Conti
"""Undercover Angel""",Alan O'Day
"""Da Doo Ron Ron""",Shaun Cassidy
"""Looks Like We Made It""",Barry Manilow
"""I Just Want to Be Your Everything""",Andy Gibb
"""Best of My Love""",The Emotions
"""Star Wars Theme/Cantina Band""",Meco
"""You Light Up My Life""",Debby Boone
"""How Deep Is Your Love""",Bee Gees
"""How Deep Is Your Love""",Bee Gees
"""Baby Come Back""",Player
"""Stayin' Alive""",Bee Gees
"""(Love Is) Thicker Than Water""",Andy Gibb
"""Night Fever""",Bee Gees
"""If I Can't Have You""",Yvonne Elliman
"""With a Little Luck""",Wings
"""Too Much, Too Little, Too Late""",Johnny Mathis and Deniece Williams
"""You're the One That I Want""",John Travolta and Olivia Newton-John
"""Shadow Dancing""",Andy Gibb
"""Miss You""",The Rolling Stones
"""Three Times a Lady""",Commodores
"""Grease""",Frankie Valli
"""Boogie Oogie Oogie""",A Taste of Honey
"""Kiss You All Over""",Exile
"""Hot Child in the City""",Nick Gilder
"""You Needed Me""",Anne Murray
"""MacArthur Park""",Donna Summer
"""You Don't Bring Me Flowers""",Barbra Streisand and Neil Diamond
"""Le Freak""",Chic
"""Too Much Heaven""",Bee Gees
"""Le Freak""",Chic
"""Da Ya Think I'm Sexy?""",Rod Stewart
"""I Will Survive""",Gloria Gaynor
"""Tragedy""",Bee Gees
"""What a Fool Believes""",The Doobie Brothers
"""Knock on Wood""",Amii Stewart
"""Heart of Glass""",Blondie
"""Reunited""",Peaches & Herb
"""Hot Stuff""",Donna Summer
"""Love You Inside Out""",Bee Gees
"""Ring My Bell""",Anita Ward
"""Bad Girls""",Donna Summer
"""Good Times""",Chic
"""My Sharona""",The Knack
"""Sad Eyes""",Robert John
"""Don't Stop 'Til You Get Enough""",Michael Jackson
"""Rise""",Herb Alpert
"""Pop Muzik""",M
"""Heartache Tonight""",Eagles
"""Still""",Commodores
"""No More Tears (Enough Is Enough)""",Barbra Streisand and Donna Summer
"""Babe""",Styx
"""Escape (The Piña Colada Song)""",Rupert Holmes
"""Please Don't Go""",KC and the Sunshine Band
"""Escape (The Piña Colada Song)""",Rupert Holmes
"""Rock with You""",Michael Jackson
"""Do That to Me One More Time""",Captain & Tennille
"""Crazy Little Thing Called Love""",Queen
"""Another Brick in the Wall, Part II""",Pink Floyd
"""Call Me""",Blondie
"""Funkytown""",Lipps Inc.
"""Coming Up""",Paul McCartney
"""It's Still Rock and Roll to Me""",Billy Joel
"""Magic""",Olivia Newton-John
"""Sailing""",Christopher Cross
"""Upside Down""",Diana Ross
"""Another One Bites the Dust""",Queen
"""Woman in Love""",Barbra Streisand
"""Lady""",Kenny Rogers
"""(Just Like) Starting Over""",John Lennon
"""(Just Like) Starting Over""",John Lennon
"""The Tide Is High""",Blondie
"""Celebration""",Kool & the Gang
"""9 to 5""",Dolly Parton
"""I Love a Rainy Night""",Eddie Rabbitt
"""Keep On Loving You""",REO Speedwagon
"""Rapture""",Blondie
"""Kiss on My List""",Daryl Hall and John Oates
"""Morning Train (Nine to Five)""",Sheena Easton
"""Bette Davis Eyes""",Kim Carnes
"""Stars on 45""",Stars on 45
"""The One That You Love""",Air Supply
"""Jessie's Girl""",Rick Springfield
"""Endless Love""",Diana Ross and Lionel Richie
"""Arthur's Theme (Best That You Can Do)""",Christopher Cross
"""Private Eyes""",Daryl Hall and John Oates
"""Physical""",Olivia Newton-John
"""Physical""",Olivia Newton-John
"""I Can't Go for That (No Can Do)""",Daryl Hall and John Oates
"""Centerfold""",The J. Geils Band
"""I Love Rock 'n' Roll""",Joan Jett and the Blackhearts
"""Chariots of Fire""",Vangelis
"""Ebony and Ivory""",Paul McCartney and Stevie Wonder
"""Don't You Want Me""",The Human League
"""Eye of the Tiger""",Survivor
"""Abracadabra""",Steve Miller Band
"""Hard to Say I'm Sorry""",Chicago
"""Jack & Diane""",John Cougar
"""Who Can It Be Now?""",Men at Work
"""Up Where We Belong""",Joe Cocker and Jennifer Warnes
"""Truly""",Lionel Richie
"""Mickey""",Toni Basil
"""Maneater""",Daryl Hall and John Oates
"""Maneater""",Daryl Hall and John Oates
"""Down Under""",Men at Work
"""Africa""",Toto
"""Baby, Come to Me""",Patti Austin and James Ingram
"""Billie Jean""",Michael Jackson
"""Come On Eileen""",Dexys Midnight Runners
"""Beat It""",Michael Jackson
"""Let's Dance""",David Bowie
"""Flashdance... What a Feeling""",Irene Cara
"""Every Breath You Take""",The Police
"""Sweet Dreams (Are Made of This)""",Eurythmics
"""Maniac""",Michael Sembello
"""Tell Her About It""",Billy Joel
"""Total Eclipse of the Heart""",Bonnie Tyler
"""Islands in the Stream""",Kenny Rogers and Dolly Parton
"""All Night Long (All Night)""",Lionel Richie
"""Say Say Say""",Paul McCartney and Michael Jackson
"""Say Say Say""",Paul McCartney and Michael Jackson
"""Owner of a Lonely Heart""",Yes
"""Karma Chameleon""",Culture Club
"""Jump""",Van Halen
"""Footloose""",Kenny Loggins
"""Against All Odds (Take a Look at Me Now)""",Phil Collins
"""Hello""",Lionel Richie
"""Let's Hear It for the Boy""",Deniece Williams
"""Time After Time""",Cyndi Lauper
"""The Reflex""",Duran Duran
"""When Doves Cry""",Prince
"""Ghostbusters""",Ray Parker Jr.
"""What's Love Got to Do with It""",Tina Turner
"""Missing You""",John Waite
"""Let's Go Crazy""",Prince and the Revolution
"""I Just Called to Say I Love You""",Stevie Wonder
"""Caribbean Queen (No More Love on the Run)""",Billy Ocean
"""Wake Me Up Before You Go-Go""",Wham!
"""Out of Touch""",Daryl Hall and John Oates
"""Like a Virgin""",Madonna
"""Like a Virgin""",Madonna
"""I Want to Know What Love Is""",Foreigner
"""Careless Whisper""",Wham! featuring George Michael
"""Can't Fight This Feeling""",REO Speedwagon
"""One More Night""",Phil Collins
"""We Are the World""",USA for Africa
"""Crazy for You""",Madonna
"""Don't You (Forget About Me)""",Simple Minds
"""Everything She Wants""",Wham!
"""Everybody Wants to Rule the World""",Tears for Fears
"""Heaven""",Bryan Adams
"""Sussudio""",Phil Collins
"""A View to a Kill""",Duran Duran
"""Everytime You Go Away""",Paul Young
"""Shout""",Tears for Fears
"""The Power of Love""",Huey Lewis and the News
"""St. Elmo's Fire (Man in Motion)""",John Parr
"""Money for Nothing""",Dire Straits
"""Oh Sheila""",Ready for the World
"""Take On Me""",a-ha
"""Saving All My Love for You""",Whitney Houston
"""Part-Time Lover""",Stevie Wonder
"""Miami Vice Theme""",Jan Hammer
"""We Built This City""",Starship
"""Separate Lives""",Phil Collins and Marilyn Martin
"""Broken Wings""",Mr. Mister
"""Say You, Say Me""",Lionel Richie
"""Say You, Say Me""",Lionel Richie
"""That's What Friends Are For""",Dionne and Friends
"""How Will I Know""",Whitney Houston
"""Kyrie""",Mr. Mister
"""Sara""",Starship
"""These Dreams""",Heart
"""Rock Me Amadeus""",Falco
"""Kiss""",Prince and the Revolution
"""Addicted to Love""",Robert Palmer
"""West End Girls""",Pet Shop Boys
"""Greatest Love of All""",Whitney Houston
"""Live to Tell""",Madonna
"""On My Own""",Patti LaBelle and Michael McDonald
"""There'll Be Sad Songs (To Make You Cry)""",Billy Ocean
"""Holding Back the Years""",Simply Red
"""Invisible Touch""",Genesis
"""Sledgehammer""",Peter Gabriel
"""Glory of Love""",Peter Cetera
"""Papa Don't Preach""",Madonna
"""Higher Love""",Steve Winwood
"""Venus""",Bananarama
"""Take My Breath Away""",Berlin
"""Stuck with You""",Huey Lewis and the News
"""When I Think of You""",Janet Jackson
"""True Colors""",Cyndi Lauper
"""Amanda""",Boston
"""Human""",The Human League
"""You Give Love a Bad Name""",Bon Jovi
"""The Next Time I Fall""",Peter Cetera and Amy Grant
"""The Way It Is""",Bruce Hornsby & the Range
"""Walk Like an Egyptian""",The Bangles
"""Walk Like an Egyptian""",The Bangles
"""Shake You Down""",Gregory Abbott
"""At This Moment""",Billy Vera and the Beaters
"""Open Your Heart""",Madonna
"""Livin' on a Prayer""",Bon Jovi
"""Jacob's Ladder""",Huey Lewis and the News
"""Lean on Me""",Club Nouveau
"""Nothing's Gonna Stop Us Now""",Starship
"""I Knew You Were Waiting (For Me)""",Aretha Franklin and George Michael
"""(I Just) Died in Your Arms""",Cutting Crew
"""With or Without You""",U2
"""You Keep Me Hangin' On""",Kim Wilde
"""Always""",Atlantic Starr
"""Head to Toe""",Lisa Lisa and Cult Jam
"""I Wanna Dance with Somebody (Who Loves Me)""",Whitney Houston
"""Alone""",Heart
"""Shakedown""",Bob Seger
"""I Still Haven't Found What I'm Looking For""",U2
"""Who's That Girl""",Madonna
"""La Bamba""",Los Lobos
"""I Just Can't Stop Loving You""",Michael Jackson with Siedah Garrett
"""Didn't We Almost Have It All""",Whitney Houston
"""Here I Go Again""",Whitesnake
"""Lost in Emotion""",Lisa Lisa and Cult Jam
"""Bad""",Michael Jackson
"""I Think We're Alone Now""",Tiffany
"""Mony Mony""",Billy Idol
"""(I've Had) The Time of My Life""",Bill Medley and Jennifer Warnes
"""Heaven Is a Place on Earth""",Belinda Carlisle
"""Faith""",George Michael
"""Faith""",George Michael
"""So Emotional""",Whitney Houston
"""Got My Mind Set on You""",George Harrison
"""The Way You Make Me Feel""",Michael Jackson
"""Need You Tonight""",INXS
"""Could've Been""",Tiffany
"""Seasons Change""",Exposé
"""Father Figure""",George Michael
"""Never Gonna Give You Up""",Rick Astley
"""Man in the Mirror""",Michael Jackson
"""Get Outta My Dreams, Get into My Car""",Billy Ocean
